epoch,loss,val_loss
0,0.9000967144966125,0.815422534942627
1,0.7718676328659058,0.7454177737236023
2,0.7167844772338867,0.7111523151397705
3,0.6877489686012268,0.6933377981185913
4,0.672195553779602,0.6813793182373047
5,0.6599027514457703,0.6716150045394897
6,0.6526576280593872,0.6676827073097229
7,0.6460161209106445,0.6627678275108337
8,0.6410713195800781,0.6578027606010437
9,0.6345827579498291,0.6541005373001099
10,0.6305592656135559,0.6499453783035278
11,0.6270399689674377,0.6484606266021729
12,0.6236053705215454,0.6480637788772583
13,0.6207311153411865,0.6438343524932861
14,0.6173589825630188,0.6404958963394165
15,0.6131715178489685,0.6352401971817017
16,0.6081175208091736,0.6314913630485535
17,0.6043118238449097,0.6323215365409851
18,0.6023157835006714,0.629200279712677
19,0.6023526787757874,0.6269938945770264
20,0.5994382500648499,0.6306458711624146
21,0.5961536169052124,0.6262854337692261
22,0.5923320055007935,0.6205145716667175
23,0.587740421295166,0.6190515756607056
24,0.5852134227752686,0.617697536945343
25,0.5830898880958557,0.6165275573730469
26,0.5814691781997681,0.6159939169883728
27,0.5801235437393188,0.6148861050605774
28,0.5790441036224365,0.6148828268051147
29,0.5782414078712463,0.6147792935371399
30,0.5775883197784424,0.6150149703025818
31,0.5764434337615967,0.6141716837882996
32,0.5756778120994568,0.6146504282951355
33,0.5748909711837769,0.6133998036384583
34,0.5738011598587036,0.6136794090270996
35,0.5732240676879883,0.612807035446167
36,0.5723515748977661,0.6129167675971985
37,0.5717960596084595,0.612691342830658
38,0.5711997151374817,0.6128692030906677
39,0.5707406997680664,0.6124936938285828
40,0.5702738165855408,0.6127775311470032
41,0.5698745846748352,0.6127707958221436
42,0.5695086121559143,0.6131718158721924
